GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",3927,518,3337,522,590,231,65,74,317,165,8,14,44,72,53,70,0,11,25,40,28,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,103,108,18,19,0,11,0,11,85,108
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",2178,339,1857,293,321,220,6,9,177,146,41,67,91,133,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,6,10
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",1218,213,1149,206,69,47,26,37,37,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,8,0,11,0,11,0,11,6,8
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",3330,429,3053,413,277,169,0,11,117,131,25,40,0,11,56,86,0,11,0,11,0,11,0,11,56,86,0,11,0,11,59,59,30,49,0,11,0,11,17,27,0,11,0,11,12,18,0,11,0,11,0,11,20,33,20,33,0,11,0,11,0,11
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",4614,582,4227,610,387,175,16,25,155,77,75,73,83,84,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,58,81,0,11,0,11,0,11,0,11,0,11,0,11,58,81,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",4210,369,3932,339,278,136,45,44,204,124,0,11,15,19,8,17,0,11,0,11,0,11,0,11,0,11,8,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,13,0,11,0,11,0,11,6,13
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",4870,399,4486,419,384,235,81,120,206,150,23,37,36,56,8,12,0,11,8,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,30,47,30,47,0,11,0,11,0,11
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",6875,445,6742,416,133,116,0,16,60,92,0,16,21,34,16,30,16,30,0,16,0,16,0,16,0,16,0,16,0,16,20,32,0,16,0,16,0,16,0,16,11,17,0,16,9,15,0,16,0,16,0,16,16,27,0,16,0,16,0,16,16,27
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",3988,282,3921,292,67,65,31,47,13,21,0,11,2,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,34,20,34,0,11,0,11,1,3
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",2544,259,2399,264,145,116,0,11,121,108,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11,12,19,0,11,0,11,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11,12,19
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",2720,282,2713,279,7,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,12,0,11,0,11,0,11,0,11,0,11,0,11,7,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",6980,758,6029,711,951,309,0,16,818,289,0,16,45,59,88,127,0,16,0,16,0,16,0,16,12,20,76,129,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",2954,407,2675,408,279,121,0,11,82,49,28,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,44,40,29,42,0,11,0,11,7,13,0,11,0,11,8,14,0,11,0,11,0,11,125,113,21,27,0,11,0,11,104,107
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",2424,306,2159,257,265,197,0,11,199,163,0,11,28,32,38,63,0,11,0,11,0,11,0,11,0,11,38,63,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",1988,339,1696,353,292,233,4,9,288,232,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",2790,430,2561,440,229,166,0,11,110,72,0,11,101,144,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,39,0,11,0,11,0,11,10,23,0,11,0,11,0,11,0,11,8,16,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",5628,727,5124,718,504,206,0,16,222,194,0,16,134,170,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,148,135,0,16,0,16,0,16,148,135,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",2309,245,2244,251,65,55,0,11,27,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,0,11,0,11,29,41,0,11,0,11,0,11,29,41
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",3806,426,3256,425,550,244,10,17,362,215,10,16,111,102,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,11,0,11,0,11,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,50,76,0,11,50,76,0,11,0,11
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",3296,347,3105,360,191,107,68,73,52,57,0,11,44,67,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,27,32,0,11,8,14,0,11,19,29
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",6870,373,6746,370,124,105,21,32,63,90,0,16,0,16,24,39,24,39,0,16,0,16,0,16,0,16,0,16,0,16,16,23,0,16,0,16,0,16,16,23,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",2629,29,2402,223,227,221,60,66,148,207,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,30,0,11,19,30,0,11,0,11
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",3343,376,3205,361,138,80,0,11,88,68,12,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,13,0,11,0,11,0,11,0,11,8,13,0,11,0,11,0,11,0,11,0,11,30,38,11,15,19,34,0,11,0,11
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",4845,482,4635,486,210,166,0,11,133,149,0,11,37,61,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,20,0,11,0,11,0,11,0,11,0,11,0,11,12,20,0,11,0,11,0,11,28,49,0,11,0,11,0,11,28,49
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",2053,253,1942,256,111,76,16,24,20,24,24,30,0,11,51,62,17,33,0,11,0,11,0,11,0,11,34,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",4601,286,4461,307,140,103,53,58,16,26,32,28,13,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,20,0,11,0,11,0,11,13,20,0,11,0,11,0,11,0,11,0,11,0,11,13,20,13,20,0,11,0,11,0,11
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",2625,206,2520,200,105,76,0,11,68,62,0,11,0,11,37,41,0,11,5,11,0,11,0,11,32,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",6651,530,5929,551,722,478,105,122,550,458,12,21,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,23,37,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,23,37,0,16,32,38,32,38,0,16,0,16,0,16
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",2432,187,2394,186,38,37,0,11,38,37,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",6755,392,6465,433,290,180,43,41,167,130,0,16,0,16,37,58,0,16,37,58,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,43,71,0,16,0,16,0,16,43,71
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",10073,499,9390,532,683,258,193,135,127,117,50,49,51,62,37,46,0,18,0,18,0,18,0,18,25,45,12,20,0,18,141,109,0,18,0,18,16,27,20,24,20,30,0,18,85,113,0,18,0,18,0,18,84,81,7,13,0,18,0,18,77,82
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",4269,108,4008,211,261,197,6,12,83,107,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,172,178,8,13,0,11,31,45,0,11,0,11,0,11,133,172,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",2568,247,2485,245,83,36,0,11,40,23,0,11,10,17,7,14,0,11,0,11,0,11,0,11,0,11,7,14,0,11,7,11,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,23,0,11,19,23,0,11,0,11
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",6250,413,6202,418,48,55,28,44,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,20,32,20,32,0,16,0,16,0,16
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",2165,159,2095,144,70,65,17,18,43,65,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",6070,413,5764,421,306,282,22,34,271,279,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,13,22,0,16,13,22,0,16,0,16
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",7601,488,7317,503,284,238,0,16,105,120,0,16,0,16,135,211,135,211,0,16,0,16,0,16,0,16,0,16,0,16,27,29,0,16,0,16,0,16,0,16,0,16,0,16,27,29,0,16,0,16,0,16,17,30,0,16,0,16,0,16,17,30
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",4459,274,4446,274,13,20,13,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",2525,172,2359,212,166,152,114,147,52,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",5373,174,5207,242,166,202,0,16,72,105,0,16,28,41,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,16,25,0,16,0,16,0,16,0,16,16,25,0,16,0,16,0,16,0,16,0,16,50,102,42,86,0,16,0,16,8,17
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",3993,344,3927,344,66,47,0,11,15,23,0,11,0,11,17,29,0,11,0,11,0,11,0,11,17,29,0,11,0,11,34,34,0,11,0,11,0,11,21,27,13,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",4340,377,4040,365,300,197,0,11,176,163,25,33,29,47,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,70,70,0,11,0,11,0,11,0,11,0,11,0,11,58,68,0,11,12,20,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",5089,319,4955,324,134,126,0,16,95,117,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,10,16,0,16,0,16,0,16,0,16,10,16,0,16,0,16,0,16,0,16,0,16,29,45,29,45,0,16,0,16,0,16
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",6023,490,5796,521,227,237,71,114,129,165,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,27,41,27,41,0,16,0,16,0,16
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",5850,326,5775,309,75,75,13,23,27,40,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,35,57,35,57,0,16,0,16,0,16
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",6331,288,6271,295,60,52,11,16,0,16,20,32,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,27,37,7,13,0,16,0,16,20,35,0,16,0,16,0,16,0,16,0,16,0,16,2,6,0,16,0,16,0,16,2,6
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",2855,261,2829,269,26,66,13,23,0,11,0,11,0,11,13,60,0,11,8,13,5,63,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",8282,451,8229,450,53,47,0,16,34,40,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,10,16,0,16,0,16,0,16,10,16,0,16,0,16,0,16,0,16,0,16,0,16,9,15,0,16,9,15,0,16,0,16
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",4168,29,4094,76,74,70,0,11,60,63,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,24,0,11,0,11,0,11,14,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",3289,40,3148,121,141,121,16,23,123,113,2,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",2433,151,2396,163,37,48,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,37,48,37,48,0,11,0,11,0,11
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",3500,150,3426,157,74,67,25,40,26,26,0,11,23,36,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",2820,18,2639,104,181,103,13,14,101,84,6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,11,0,11,0,11,0,11,6,11,0,11,0,11,0,11,0,11,0,11,0,11,55,60,0,11,27,43,0,11,28,41
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",3640,209,3586,197,54,54,2,4,44,51,0,11,0,11,8,12,0,11,8,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",7851,389,7616,398,235,173,0,16,96,104,0,16,17,25,14,23,14,23,0,16,0,16,0,16,0,16,0,16,0,16,108,119,41,62,0,16,0,16,67,104,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",4136,315,3957,300,179,78,8,17,44,37,8,16,43,35,26,28,0,11,10,19,11,18,0,11,0,11,5,10,0,11,7,11,0,11,0,11,0,11,3,6,4,9,0,11,0,11,0,11,0,11,0,11,43,36,17,24,7,12,0,11,19,22
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",4807,265,4618,284,189,136,0,11,60,64,0,11,97,128,18,31,0,11,18,31,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,24,14,24,0,11,0,11,0,11
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",2017,129,1999,126,18,19,10,15,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,10,7,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014612,36001014612,"Census Tract 146.12, Albany County, New York",1610,118,1557,111,53,38,0,11,43,38,0,11,0,11,6,8,0,11,6,8,0,11,0,11,0,11,0,11,0,11,4,6,0,11,0,11,0,11,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",3325,246,3235,260,90,84,0,11,31,36,0,11,53,73,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,12,0,11,6,12,0,11,0,11
